C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 39, col 13, Warning - 'SignalIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 47, col 17, Warning - 'StatsIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 48, col 17, Warning - 'FilterIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 117, col 47, Warning - 'platformId' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 175, col 13, Warning - 'localPath' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 614, col 64, Warning - 'data' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 666, col 33, Warning - 'backupId' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 692, col 11, Warning - 'iv' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 731, col 17, Warning - 'id' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationBackupManager.ts: line 756, col 17, Warning - 'id' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 9, col 3, Warning - 'ConfigurationValidation' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 15, col 3, Warning - 'ConfigurationEvents' is defined but never used. (@typescript-eslint/no-unused-vars)
